Fs,80.00
Logging time,3600
h,temp
0.03,25.8
0.12,25.8
0.03,25.8
-0.07,25.8
-0.16,25.8
-0.25,25.8
-0.07,25.8
0.03,25.8
0.03,25.8
0.03,25.8
-0.16,25.8
-0.07,25.8
0.03,25.8
-0.16,25.81
0.12,25.8
-0.16,25.81
-0.16,25.8
-0.07,25.8
0.03,25.8
-0.16,25.8
-0.07,25.81
-0.25,25.81
-0.16,25.8
-0.07,25.8
-0.07,25.81
-0.16,25.8
-0.07,25.8
0.03,25.8
-0.16,25.8
-0.07,25.8
0.12,25.8
-0.07,25.8
-0.07,25.8
0.03,25.8
0.22,25.8
-0.25,25.8
-0.25,25.8
-0.07,25.81
-0.07,25.8
-0.07,25.8
-0.07,25.8
-0.16,25.81
-0.16,25.8
-0.16,25.8
0.03,25.8
-0.16,25.81
-0.16,25.8
-0.07,25.8
-0.07,25.8
-0.16,25.8
-0.07,25.81
-0.16,25.8
-0.07,25.8
0.03,25.8
0.03,25.81
-0.07,25.8
0.12,25.8
-0.07,25.81
-0.07,25.81
-0.07,25.8
-0.07,25.81
-0.25,25.81
0.03,25.8
0.03,25.8
-0.07,25.81
-0.25,25.81
0.03,25.81
-0.25,25.81
-0.16,25.81
-0.25,25.81
-0.07,25.81
0.03,25.8
0.03,25.81
-0.44,25.81
-0.07,25.81
-0.16,25.81
-0.16,25.8
0.03,25.81
-0.16,25.81
0.03,25.81
-0.07,25.81
-0.16,25.81
-0.25,25.81
-0.07,25.81
0.03,25.8
-0.07,25.81
0.12,25.81
0.12,25.81
-0.07,25.81
-0.07,25.81
-0.16,25.81
-0.16,25.81
0.03,25.81
-0.25,25.81
-0.16,25.81
-0.07,25.81
0.03,25.81
-0.16,25.81
0.03,25.81
0.12,25.81
0.03,25.81
-0.25,25.81
-0.25,25.81
-0.07,25.81
0.12,25.81
0.03,25.81
-0.16,25.81
-0.07,25.81
-0.07,25.81
-0.25,25.81
0.03,25.81
0.22,25.81
-0.16,25.81
-0.16,25.81
-0.07,25.81
-0.07,25.81
-0.07,25.81
-0.07,25.81
-0.44,25.81
0.03,25.81
0.12,25.81
0.03,25.81
-0.16,25.81
-0.07,25.81
0.12,25.81
0.12,25.81
-0.07,25.81
-0.25,25.81
0.12,25.81
-0.16,25.81
0.12,25.81
-0.16,25.81
-0.16,25.81
-0.16,25.81
-0.07,25.81
-0.16,25.81
0.03,25.81
-0.07,25.81
-0.07,25.81
0.03,25.81
0.12,25.81
-0.16,25.81
0.03,25.81
-0.25,25.81
0.03,25.81
0.03,25.81
-0.07,25.81
0.03,25.81
-0.25,25.81
0.03,25.81
0.03,25.81
-0.07,25.81
-0.44,25.81
-0.25,25.81
0.03,25.81
0.03,25.81
-0.16,25.81
0.12,25.81
-0.16,25.81
-0.35,25.81
0.12,25.81
-0.25,25.81
-0.25,25.81
-0.07,25.81
-0.07,25.81
0.22,25.81
-0.16,25.81
-0.16,25.81
0.03,25.81
0.31,25.81
-0.07,25.81
-0.25,25.81
-0.16,25.81
-0.25,25.81
-0.16,25.81
-0.16,25.81
0.12,25.82
-0.07,25.82
-0.16,25.81
-0.07,25.81
0.12,25.81
-0.25,25.81
-0.16,25.81
0.03,25.81
-0.07,25.82
-0.07,25.81
-0.07,25.82
-0.07,25.81
-0.07,25.81
0.22,25.81
-0.25,25.81
-0.25,25.82
-0.16,25.81
0.03,25.81
-0.16,25.82
-0.25,25.81
0.12,25.82
-0.16,25.81
-0.07,25.81
-0.25,25.82
0.03,25.82
-0.35,25.82
-0.16,25.81
0.22,25.81
0.12,25.81
0.03,25.81
-0.16,25.81
-0.07,25.81
-0.25,25.81
-0.16,25.81
-0.16,25.81
0.03,25.81
-0.16,25.82
-0.07,25.81
-0.25,25.82
-0.25,25.82
-0.07,25.81
-0.35,25.82
-0.07,25.82
-0.07,25.82
0.03,25.82
0.03,25.82
-0.16,25.82
0.03,25.82
0.12,25.82
-0.16,25.82
-0.35,25.81
-0.07,25.81
0.12,25.82
-0.25,25.82
-0.16,25.82
0.03,25.82
0.03,25.82
-0.25,25.82
-0.25,25.82
-0.16,25.82
-0.07,25.82
-0.16,25.82
-0.16,25.82
-0.07,25.82
-0.25,25.82
-0.16,25.82
-0.25,25.82
0.03,25.82
-0.16,25.82
-0.16,25.82
-0.16,25.82
-0.07,25.81
-0.07,25.82
0.12,25.82
-0.07,25.82
-0.16,25.82
-0.16,25.82
-0.07,25.82
0.03,25.82
0.12,25.82
0.22,25.82
-0.25,25.82
0.03,25.82
-0.16,25.82
-0.25,25.82
-0.16,25.82
0.03,25.82
-0.25,25.82
-0.16,25.82
0.12,25.82
-0.25,25.82
0.03,25.82
-0.16,25.83
-0.25,25.82
-0.35,25.82
-0.16,25.82
-0.25,25.82
-0.16,25.82
-0.07,25.82
-0.25,25.82
-0.16,25.82
-0.16,25.82
-0.16,25.82
-0.16,25.82
-0.16,25.82
-0.07,25.82
0.03,25.82
-0.16,25.82
0.03,25.82
0.03,25.82
-0.16,25.82
0.03,25.82
0.03,25.83
-0.16,25.82
-0.16,25.82
-0.25,25.83
0.12,25.82
-0.35,25.82
0.03,25.82
-0.07,25.82
-0.16,25.82
-0.16,25.82
-0.25,25.83
-0.16,25.82
-0.25,25.82
-0.07,25.83
-0.25,25.83
-0.16,25.82
-0.35,25.83
-0.44,25.83
-0.25,25.82
